spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,
7bywjHOc0wSjGGbj04XbVi,LUNA,"Feid, ATL Jacob",7,-4,-2,Paragay,2024-11-19,88,False,196800,FERXXOCALIPSIS,2023-12-01,0.774,0.86,7,-2.888,0,0.13,0.131,0,0.116,0.446,100.019,4,
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,8,-4,-6,Paragay,2024-11-19,92,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4,
0SoBfYjQHvL6cuWHtPUYnq,Hoy,"Valentino Merlo, The La Planta",9,0,-2,Paragay,2024-11-19,80,False,198495,Hoy,2024-05-22,0.451,0.711,11,-4.612,1,0.0426,0.24,0,0.154,0.661,176.161,4,
4AdkryAxDTbgwQdqtFH8qx,Siempre Me Buscabas,Lalo Y Los Descalzos,10,7,1,Paragay,2024-11-19,56,False,218133,Super Cumbias (Remastered),2019-10-26,0.693,0.433,4,-10.062,1,0.118,0.286,0,0.273,0.928,162.194,4,
5lGXgWvY60L80gKGk5Clgc,Interestelar,Plutonio,1,0,1,Portugal,2024-11-19,54,False,188593,Carta de Alforria,2024-11-08,0.676,0.621,11,-7.055,0,0.288,0.451,0.00000219,0.143,0.21,65.301,3,
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",2,0,-1,Portugal,2024-11-19,100,False,251667,Die With A Smile,2024-08-16,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3,
4VhSwcMCrXQgEfwls3s46o,Deja Vu,Plutonio,3,1,47,Portugal,2024-11-19,54,False,203686,Carta de Alforria,2024-11-08,0.751,0.534,5,-7.675,0,0.41,0.715,0,0.101,0.537,63.973,4,
6s1kzj4EbhFLXbuAGJbhbn,Barbie,"MC Tuto, DJ Glenner",4,-1,-1,Portugal,2024-11-19,85,False,192755,Barbie,2024-10-18,0.955,0.425,3,-8.242,0,0.43,0.711,0,0.101,0.716,127.032,4,
0qGRWcPOMkkt7edm4wMVRf,País das Maravilhas,Plutonio,5,0,45,Portugal,2024-11-19,52,False,245461,Carta de Alforria,2024-11-08,0.701,0.387,8,-10.795,0,0.0955,0.68,0,0.361,0.223,98.019,4,
4TnEIYOXZ9KBGHOIqG5Xs5,ESCADA DO PRÉDIO,"PEDRO SAMPAIO, Marina Sena",6,0,2,Portugal,2024-11-19,77,True,137272,ASTRO,2024-09-04,0.886,0.534,5,-4.712,0,0.0481,0.557,0,0.13,0.78,131.966,4,
0vfN1RYc1aDmf46CpE7EsC,Casa Melhor,Plutonio,7,4,43,Portugal,2024-11-19,52,False,179041,Carta de Alforria,2024-11-08,0.75,0.44,0,-8.308,0,0.0527,0.221,0.0000113,0.0931,0.317,143.025,4,
